"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2025 22:00:00 - 04/01/2025 23:00:00","BZN|ES","Without sequence","119.23","",""
"04/01/2025 23:00:00 - 05/01/2025 00:00:00","BZN|ES","Without sequence","109.9","",""
"05/01/2025 00:00:00 - 05/01/2025 01:00:00","BZN|ES","Without sequence","101.77","",""
"05/01/2025 01:00:00 - 05/01/2025 02:00:00","BZN|ES","Without sequence","70.5","",""
"05/01/2025 02:00:00 - 05/01/2025 03:00:00","BZN|ES","Without sequence","64.81","",""
"05/01/2025 03:00:00 - 05/01/2025 04:00:00","BZN|ES","Without sequence","46.7","",""
"05/01/2025 04:00:00 - 05/01/2025 05:00:00","BZN|ES","Without sequence","43.87","",""
"05/01/2025 05:00:00 - 05/01/2025 06:00:00","BZN|ES","Without sequence","36.61","",""
"05/01/2025 06:00:00 - 05/01/2025 07:00:00","BZN|ES","Without sequence","34.04","",""
"05/01/2025 07:00:00 - 05/01/2025 08:00:00","BZN|ES","Without sequence","44.0","",""
"05/01/2025 08:00:00 - 05/01/2025 09:00:00","BZN|ES","Without sequence","51.27","",""
"05/01/2025 09:00:00 - 05/01/2025 10:00:00","BZN|ES","Without sequence","50.0","",""
"05/01/2025 10:00:00 - 05/01/2025 11:00:00","BZN|ES","Without sequence","49.81","",""
"05/01/2025 11:00:00 - 05/01/2025 12:00:00","BZN|ES","Without sequence","43.05","",""
"05/01/2025 12:00:00 - 05/01/2025 13:00:00","BZN|ES","Without sequence","45.74","",""
"05/01/2025 13:00:00 - 05/01/2025 14:00:00","BZN|ES","Without sequence","35.19","",""
"05/01/2025 14:00:00 - 05/01/2025 15:00:00","BZN|ES","Without sequence","30.0","",""
"05/01/2025 15:00:00 - 05/01/2025 16:00:00","BZN|ES","Without sequence","28.0","",""
