"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|PT","Without sequence","184.94","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|PT","Without sequence","178.99","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|PT","Without sequence","156.12","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|PT","Without sequence","148.65","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|PT","Without sequence","137.92","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|PT","Without sequence","112.87","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|PT","Without sequence","132.8","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|PT","Without sequence","106.7","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|PT","Without sequence","84.5","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|PT","Without sequence","80.0","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|PT","Without sequence","79.11","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|PT","Without sequence","94.79","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|PT","Without sequence","169.04","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|PT","Without sequence","206.07","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|PT","Without sequence","211.13","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|PT","Without sequence","213.86","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|PT","Without sequence","209.1","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|PT","Without sequence","202.8","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|PT","Without sequence","199.89","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|PT","Without sequence","197.34","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|PT","Without sequence","195.6","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|PT","Without sequence","200.0","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|PT","Without sequence","206.07","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|PT","Without sequence","211.23","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|PT","Without sequence","225.0","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|PT","Without sequence","250.34","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|PT","Without sequence","241.93","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|PT","Without sequence","218.95","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|PT","Without sequence","207.46","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|PT","Without sequence","200.0","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|PT","Without sequence","207.15","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|PT","Without sequence","204.22","",""
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|PT","Without sequence","191.82","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|PT","Without sequence","180.7","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|PT","Without sequence","170.1","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|PT","Without sequence","194.38","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|PT","Without sequence","204.22","",""
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|PT","Without sequence","216.14","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|PT","Without sequence","219.42","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|PT","Without sequence","220.0","",""
